Nota,Fecha,Medio,Tema,Subtema,Sub-subtema,Link
Tapatíos cuestionan expansión de ciclopuertos de Mi Bici; denuncian falta de consulta y pérdida de estacionamiento,07-29-26,El Occidental,Bicicleta,Bici pública,Denuncia,https://oem.com.mx/eloccidental/local/tapatios-cuestionan-expansion-de-ciclopuertos-de-mi-bici-denuncian-falta-de-consulta-y-perdida-de-estacionamiento-31351404
Cuestionan usuarios costo extra de bicicletas eléctricas en MiBici,07-29-26,NTR Guadalajara,Bicicleta,Bici pública,Costo,https://www.ntrguadalajara.com/post.php?id_nota=247854
"Bicis eléctricas tienen 2,441 viajes diarios",07-14-26,NTR Guadalajara,Bicicleta,Bici pública,Servicio,https://www.ntrguadalajara.com/post.php?id_nota=247237
MI BICI ELÉCTRICA SUPERA LOS 73 MIL VIAJES EN SU PRIMER MES Y DUPLICA USO DE UNIDADES MECÁNICAS,07-14-26,Jalisco TV,Bicicleta,Bici pública,Servicio,https://jaliscotv.com/mi-bici-electrica-supera/
Usuarios prefieren MiBici eléctrica; aumentarán unidades,07-13-26,Mural,Bicicleta,Bici pública,Electromovilidad,https://www.mural.com.mx/usuarios-prefieren-mibici-electrica-aumentaran-unidades/ar3239607?grrecs=1&widget=portadaprincipalusuario-mural-nacional-cancha-negocios-ciudad-internacional-gente-local-seguridad-comunidad&reftype=portada&ckrecommendationid=RID-e1-455a-9243-70d9cc01aa8b-CID-80e893
Incorporación de bicicletas eléctricas al sistema Mi Bici duplicó los viajes diarios en un mes,07-13-26,Notisistema,Bicicleta,Bici pública,Servicio,https://www.notisistema.com/noticias/incorporacion-de-bicicletas-electricas-al-sistema-mi-bici-duplico-los-viajes-diarios-en-un-mes/
Suman 13 bicicletas eléctricas vandalizadas de MiBici en un mes,07-13-26,Notisistema,Bicicleta,Bici pública,Varios,https://www.notisistema.com/noticias/suman-13-bicicletas-electricas-vandalizadas-de-mibici-en-un-mes/
Rehabilitación de ciclovías sigue pendiente a más de 8 meses de su aprobación,12-07-26,Tribuna de la bahia,Bicicleta,Ciclovía,Mantenimiento,https://tribunadelabahia.com.mx/rehabilitacion-ciclovias-pendiente-8-meses-aprobacion/
MiBici suma 700 bicicletas eléctricas; duplican el uso de las mecánicas,10-07-26,Meganoticias,Bicicleta,Bici pública,Electromovilidad,https://www.meganoticias.mx/guadalajara/noticia/mibici-suma-700-bicicletas-el%C3%A9ctricas-duplican-el-uso-de-las-mec%C3%A1nicas/750307
Suman nueve ciclistas fallecidos en accidentes viales durante 2026 en el AMG*,07-07-26,Notisistema,Bicicleta,Siniestralidad,Informe,https://www.notisistema.com/noticias/suman-nueve-ciclistas-fallecidos-en-accidentes-viales-durante-2026-en-el-amg/
Peatones y ciclistas denuncian obstrucción de la ciclovía frente a la Clínica 42 del IMSS en Puerto Vallarta,03-07-26,Noticiaspv,Bicicleta,Ciclovía,Invasión,https://www.noticiaspv.com.mx/denuncian-obstruccion-ciclovia-clinica-42-imss/
Retiran memorial de Bici Blanca frente a la Setran,02-07-26,NTR Guadalajara,Bicicleta,Siniestralidad,Bici Blanca,https://www.ntrguadalajara.com/post.php?id_nota=246731
Retira MiBici 120 unidades al día,02-07-26,NTR Guadalajara,Bicicleta,Bici pública,Varios,https://www.ntrguadalajara.com/post.php?id_nota=246717
Iniciará prueba de bicicletas eléctricas en el corredor López Mateos; descartan ciclovías,02-07-26,Meganoticias,Bicicleta,Bici +,Varios,https://www.meganoticias.mx/guadalajara/noticia/iniciar%C3%A1-prueba-de-bicicletas-el%C3%A9ctricas-en-el-corredor-l%C3%B3pez-mateos-descartan-ciclov%C3%ADas/748144
"Advierten falla en continuidad de ciclovía cerca de Las Pintitas, en El Salto",06-30-26,El Occidental,Bicicleta,Ciclovía,Denuncia,https://oem.com.mx/eloccidental/local/advierten-falla-en-continuidad-de-ciclovia-cerca-de-las-pintitas-en-el-salto-30862440
Ciclovía del Macro Aeropuerto obliga a ciclistas a bajarse de la bicicleta,06-30-26,UDGTV,Bicicleta,Ciclovía,Varios,https://udgtv.com/noticias/falla-en-ciclovia-linea-5-macrobus-reporta-gobierno-jalisco/322956
Bici Blanca exige la salida de Diego Monraz por la muerte de 105 ciclistas desde 2009,06-28-26,UDGTV,Bicicleta,Siniestralidad,Bici Blanca,https://udgtv.com/noticias/bici-blanca-exige-la-salida-de-diego-monraz/322711
Van 105 muertes de ciclistas en siniestros por TP ,06-27-26,NTR Guadalajara,Bicicleta,Manifestación,Siniestralidad,https://www.ntrguadalajara.com/post.php?id_nota=246505
Registran la muerte de más de 100 ciclistas atropellados por camiones del transporte público en el AMG desde 2009,06-27-26,El Informador,Bicicleta,Manifestación,Siniestralidad,https://www.informador.mx/jalisco/registran-la-muerte-de-mas-de-100-ciclistas-atropellados-por-camiones-del-transporte-publico-en-el-amg-desde-2009-20260627-0076.html
Rodada de protesta recuerda a 105 ciclistas fallecidos,06-26-26,Meganoticias,Bicicleta,Manifestación,Siniestralidad,https://www.meganoticias.mx/guadalajara/noticia/rodada-de-protesta-recuerda-a-105-ciclistas-fallecidos/746547
Colectivo Bicicleta Blanca convocará protesta por muertes de ciclistas vinculadas al transporte público,06-25-26,El Occidental,Bicicleta,Manifestación,Bici Blanca,https://oem.com.mx/eloccidental/local/colectivo-bicicleta-blanca-convocara-protesta-por-muertes-de-ciclistas-vinculadas-al-transporte-publico-30772282
Aprueban dejar sin costo los primeros 10 minutos de las bicis eléctricas,06-25-26,UDGTV,Bicicleta,Bici pública,Cobro,https://udgtv.com/noticias/comision-hacienda-aprueba-tarifa-bicis-electricas-jalisco/322355
Así puedes revisar cuáles estaciones de MiBici pública han sido desactivadas por cambio al sistema eléctrico,06-23-26,El Informador,Bicicleta,Bici pública,Infraestructura,https://www.informador.mx/jalisco/mibici-asi-puedes-revisar-cuales-estaciones-han-sido-desactivadas-por-cambio-al-sistema-electrico-20260623-0156.html
Piden Tolerancia en Tiempos de Entrega de MiBici,06-23-26,Página 24 Jalisco,Bicicleta,Bici pública,Servicio,https://pagina24jalisco.com.mx/2026/06/23/local/piden-tolerancia-en-tiempos-de-entrega-de-mibici/
Comisión avala quitar cobro por uso de bicicletas eléctricas,06-23-26,El Informador,Bicicleta,Bici pública,Varios,https://www.informador.mx/jalisco/comision-avala-quitar-cobro-por-uso-de-bicicletas-electricas-20260623-0131.html
Llega reforma para quitar cobro en bicis eléctricas,06-16-26,NTR Guadalajara,Bicicleta,Bici pública,Electromovilidad,https://www.ntrguadalajara.com/post.php?id_nota=246031
MiBici rentará bicicletas eléctricas hasta por seis meses,06-14-26,El Informador,Bicicleta,Bici +,Varios,https://www.informador.mx/jalisco/mibici-rentara-bicicletas-electricas-por-seis-meses-20260614-0022.html
Familiares de ciclista fallecido tras atropellamiento por unidad de la ruta 360 exigen justicia,06-13-26,Trafico ZMG,Bicicleta,Manifestación,Siniestralidad,https://traficozmg.com/2026/06/familiares-de-ciclista-fallecido-tras-atropellamiento-por-unidad-de-la-ruta-360-exigen-justicia/
Desnudos sobre ruedas: llaman a reconocer al ciclista como parte de la movilidad urbana,06-13-26,El Occidental,Bicicleta,Manifestación,Varios,https://oem.com.mx/eloccidental/local/desnudos-sobre-ruedas-llaman-a-reconocer-al-ciclista-como-parte-de-la-movilidad-urbana-30518838
AVANZA MI BICI A UNA NUEVA ERA DE MOVILIDAD METROPOLITANA,10-06-26,Jalisco TV,Bicicleta,Bici pública,Servicio,https://jaliscotv.com/nueva-era-de-movilidad/
¡Imposible transitar! Así se encuentra la ciclovía de Mariano Otero y Periférico,09-06-26,Azteca Jalisco,Bicicleta,Ciclovía,Denuncia,https://www.aztecajalisco.com/local/denuncian-que-la-ciclovia-avenida-mariano-otero-y-periferico-esta-inundada/
Acuden 119 mil a Bien de Noche,08-06-26,NTR Guadalajara,Bicicleta,Vía recractiva,Varios,https://www.ntrguadalajara.com/post.php?id_nota=245654
Tlajomulco construirá ciclovía en la Avenida López Mateos,08-06-26,UDGTV,Bicicleta,Ciclovía,Infraestructura,https://udgtv.com/noticias/tlajomulco-construira-ciclovia-en-la-avenida-lopez-mateos/320062
Electrifican al menos 9 estaciones de MiBici,08-06-26,NTR Guadalajara,Bicicleta,Bici pública,Electromovilidad,https://www.ntrguadalajara.com/post.php?id_nota=245656
Arranca MiBici eléctrica; buscan eliminar cobro extra,08-06-26,UDGTV,Bicicleta,Bici pública,Electromovilidad,https://udgtv.com/noticias/arranca-mibici-electrica-buscan-eliminar-cobro-extra/320060
Tlajomulco se suma a expansión de Mi Bici con bicicletas eléctricas en López Mateos,08-06-26,Crónica Jalisco,Bicicleta,Bici +,Varios,https://www.cronica.com.mx/jalisco/guadalajara/2026/06/08/tlajomulco-se-suma-a-expansion-de-mi-bici-con-bicicletas-electricas-en-lopez-mateos/
"Oblatos concentra miles de viajes en bicicleta, pero sin nuevas ciclovías en Guadalajara",04-06-26,El Occidental,Bicicleta,Ciclovía,Varios,https://oem.com.mx/eloccidental/local/oblatos-concentra-miles-de-viajes-en-bicicleta-pero-sin-nuevas-ciclovias-en-guadalajara-30361195
Moderniza MiBici sus estaciones,04-06-26,Mural,Bicicleta,Bici pública,Infraestructura,https://www.mural.com.mx/moderniza-mibici-sus-estaciones/ar3216141?v=2
"Develan escultura ""Las Bicicletas: el arte del equilibrio"" en avenida Universidad",03-06-26,El Informador,Bicicleta,Varios,Varios,https://www.informador.mx/jalisco/develan-escultura-las-bicicletas-el-arte-del-equilibrio-en-avenida-universidad-20260603-0148.html
"Develan escultura ""Las Bicicletas: el arte del equilibrio"" en avenida Universidad",03-06-26,El Informador,Bicicleta,Varios,Varios,https://www.informador.mx/jalisco/develan-escultura-las-bicicletas-el-arte-del-equilibrio-en-avenida-universidad-20260603-0148.html
 ,03-06-26,Pasajero 7,Bicicleta,Día de la bici,Varios,https://www.pasajero7.com/fortalece-jalisco-la-movilidad-sostenible-saludable-accesible-en-dia-mundial-la-bicicleta/
Suma Jalisco 338 km de ciclovías y expande MiBici en el AMG,03-06-26,Quadratin,Bicicleta,Ciclovía,Varios,https://jalisco.quadratin.com.mx/sucesos/suma-jalisco-338-km-de-ciclovias-y-expande-mibici-en-el-amg/
Propone Morena Ampliar la Infraestructura Ciclista en Guadalajara,03-06-26,Página 24 Jalisco,Bicicleta,Ciclovía,Varios,https://pagina24jalisco.com.mx/2026/06/04/local/propone-morena-ampliar-la-infraestructura-ciclista-en-guadalajara/
Paso elevado en Patria y Universidad cuenta con ciclovía y parque lineal,03-06-26,Notisistema,Bicicleta,Ciclovía,Varios,https://www.notisistema.com/noticias/paso-elevado-en-patria-y-universidad-cuenta-con-ciclovia-y-parque-lineal/
Eliminarán cobros en MiBici por uso de bicicletas eléctricas,03-06-26,El Informador,Bicicleta,Bici pública,Cobro,https://www.informador.mx/jalisco/eliminaran-cobros-en-mibici-por-uso-de-bicicletas-electricas-20260603-0101.html
Pide Congreso ampliar sistema Mi Bici hacia Tlaquepaque,03-06-26,Mural,Bicicleta,Bici pública,Congreso,https://www.mural.com.mx/pide-congreso-ampliar-sistema-mi-bici-hacia-tlaquepaque/ar3215872
MiBici registra 13 mil viajes diarios y suma más de 37 millones de trayectos desde su creación,03-06-26,El Informador,Bicicleta,Bici pública,Servicio,https://www.informador.mx/jalisco/mibici-registra-13-mil-viajes-diarios-y-suma-mas-de-37-millones-de-trayectos-desde-su-creacion-20260603-0124.html
Suma Jalisco 338 km de ciclovías y expande MiBici en el AMG,03-06-26,Quadratin,Bicicleta,Bici pública,Varios,https://jalisco.quadratin.com.mx/sucesos/suma-jalisco-338-km-de-ciclovias-y-expande-mibici-en-el-amg/
Instalan bici blanca en memoria de ciclista,05-31-26,NTR Guadalajara,Bicicleta,Bici blanca,Bici,https://www.ntrguadalajara.com/post.php?id_nota=245357
Colectivo Bicicleta Blanca exige mayor seguridad en la movilidad de los ciclistas de Guadalajara ,05-30-26,Telediario,Bicicleta,Siniestralidad,Bici blanca,https://www.telediario.mx/comunidad/colectivo-de-ciclistas-exige-mayor-seguridad-al-gobierno-de-jalisco
Reportan inundaciones en ciclovía recién construida sobre Avenida Aviación,05-22-26,El Occidental,Bicicleta,Ciclovía,Denuncia,https://oem.com.mx/eloccidental/local/reportan-inundaciones-en-ciclovia-recien-construida-sobre-avenida-aviacion-30134214
Suman siete ciclistas fallecidos en accidentes viales en Jalisco durante 2026,05-20-26,Notisistema,Bicicleta,Siniestralidad,Datos,https://www.notisistema.com/noticias/suman-siete-ciclistas-fallecidos-en-accidentes-viales-en-jalisco-durante-2026/
¡Cable colgado en plena vía pública amenaza a ciclistas y motociclistas! | Noticias GDL,05-19-26,Canal 44,Bicicleta,Inseguridad,Infraestructura,https://www.youtube.com/watch?v=QrLV-tt4_GE
Guadalajara presume movilidad sustentable mientras su red ciclista sigue estancada,05-19-26,UDGTV,Bicicleta,Infraestructura,Varios,https://udgtv.com/noticias/gdl-presume-movilidad-sustentable/317213
"Ciclovía de 8 de Julio: tres kilómetros con baches, cortes y poca conexión en el sur de la ciudad",05-19-26,El Occidental,Bicicleta,Ciclovía,Denuncia,https://oem.com.mx/eloccidental/local/ciclovia-de-8-de-julio-tres-kilometros-con-baches-cortes-y-poca-conexion-en-el-sur-de-la-ciudad-30075251
"Entre baches, cortes y abandono, sobrevive la ciclovía de 8 de Julio",05-19-26,Imagen,Bicicleta,Ciclovía,Mantenimiento,https://www.youtube.com/watch?v=nnkFJALBCvk
Invertirá Guadalajara 20 millones en ciclovías,05-19-26,NTR Guadalajara,Bicicleta,Ciclovía,Presupuesto,https://www.ntrguadalajara.com/post.php?id_nota=244837
Presenta abandono ciclovía en 8 de Julio,05-18-26,Mural,Bicicleta,Ciclovía,Denuncia,https://www.mural.com.mx/presenta-abandono-ciclovia-en-8-de-julio/ar3205962
Invita SEDECO a artistas urbanos a intervenir la ciclovía de la ruta artesanal,05-16-26,Notisistema,Bicicleta,Ciclovía,Varios,https://www.notisistema.com/noticias/invita-sedeco-a-artistas-urbanos-a-intervenir-la-ciclovia-de-la-ruta-artesanal/
Critican Ciclovía de Copérnico,08-05-26,Página 24 Jalisco,Bicicleta,Ciclovía,Oposición,https://pagina24jalisco.com.mx/2026/05/08/local/critican-ciclovia-de-copernico/
Señalan Vandalismo en Estaciones de “Mi Bici”,03-05-26,Página 24 Jalisco,Bicicleta,Bici pública,Denuncia,https://pagina24jalisco.com.mx/2026/05/03/local/senalan-vandalismo-en-estaciones-de-mi-bici/
MiBici: Llegan nuevas unidades eléctricas a GDL,04-30-26,Quiero TV,Bicicleta,Bici pública,Electromovilidad,https://quierotv.mx/2026/04/30/mibici-llegan-nuevas-unidades-electricas-a-gdl
Pedaleando ando en la tercera edición de la Rodada CUValles,04-30-26,Gaceta,Bicicleta,Acciones,UDG,https://www.gaceta.udg.mx/pedaleando-ando-en-la-tercera-edicion-de-la-rodada-cuvalles/
Estas son las bicicletas europeas que se integran a MiBici en Guadalajara,04-29-26,Milenio,Bicicleta,Bici pública,Unidades,https://www.milenio.com/comunidad/guadalajara-recibe-bicicletas-electricas-europeas-para-mibici
"Sin campaña preventiva ante el calor, familias recorren la VíaRecreativa con temperaturas de hasta 34 grados",04-26-26,El Occidental,Bicicleta,Vía recreactiva,Varios,https://oem.com.mx/eloccidental/local/sin-campana-preventiva-ante-el-calor-familias-recorren-la-viarecreativa-con-temperaturas-de-hasta-34-grados-29683085
Realizan segunda rodada por fallecimientos de ciclistas,04-25-26,NTR Guadalajara,Bicicleta,Manifestación,Siniestralidad,https://www.ntrguadalajara.com/post.php?id_nota=243901
Habitantes aledaños a la Avenida Río Blanco en #Zapopan denuncian que la nueva ciclovía ha colapsado la movilidad en la zona.,04-22-26,Imagen,Bicicleta,Ciclovía,Oposición,https://www.facebook.com/reel/1496571002252255
Aprueban que funcionarios de Imeplan expliquen ante diputados el plan de crecimiento de Mi Bici,04-21-26,UDGTV,Bicicleta,Bici pública,Congreso,https://udgtv.com/noticias/comision-gestion-metropolitana-llama-a-comparecer-amim/313263
Urgen intervenir ciclovías de la ZMG,04-20-26,Mural,Bicicleta,Ciclovía,Mantenimiento,https://www.mural.com.mx/urgen-intervenir-ciclovias-de-la-zmg/ar3189446?v=2
¿Qué es Mi Bici Más? Conoce el sistema de renta de bicicletas eléctricas en la Zona Metropolitana de Guadalajara | Cuándo y dónde inicia,04-18-26,Telediario,Bicicleta,Bici pública,Bici+,https://www.telediario.mx/comunidad/mi-bici-mas-en-guadalajara-donde-y-cuando-inicia-renta-de-bicicletas
¿Qué es Mi Bici Más? Conoce el sistema de renta de bicicletas eléctricas en la Zona Metropolitana de Guadalajara | Cuándo y dónde inicia,04-18-26,Telediario,Bicicleta,Bici pública,Varios,https://www.telediario.mx/comunidad/mi-bici-mas-en-guadalajara-donde-y-cuando-inicia-renta-de-bicicletas
Rehabilitarán más de 20 ciclovías antes de que concluya el primer semestre,04-17-26,El Occidental,Bicicleta,Ciclovía,Mantenimiento,https://oem.com.mx/eloccidental/local/rehabilitaran-mas-de-20-ciclovias-antes-de-que-concluya-el-primer-semestre-29541008
Avalan vecinos más ciclopuertos para Mi Bici,04-17-26,Mural,Bicicleta,Bici pública,Varios,https://www.mural.com.mx/avalan-vecinos-mas-ciclopuertos-para-mi-bici/ar3188101
"Guadalajara, entre las mejores ciudades de América Latina para andar en bici",04-16-26,El Informador,Bicicleta,Varios,Varios,https://www.informador.mx/jalisco/guadalajara-entre-las-mejores-ciudades-de-america-latina-para-andar-en-bici-20260416-0074.html
"Entre bicicletas, juegos y risas, familias llenan la Vía RecreActiva en cierre vacacional",04-13-26,Canal 44,Bicicleta,Vía recreactiva,Varios,https://www.youtube.com/watch?v=QyXjgb_YpQI
Vecinos definirán puertos de Mi Bici,12-04-26,El Informador,Bicicleta,Bici pública,Oposición,https://www.informador.mx/jalisco/mi-bici-vecinos-definiran-puertos-del-sistema-en-la-estancia-20260412-0030.html
MiBici ampliará tiempo de uso este fin,10-04-26,NTR Guadalajara,Bicicleta,Bici pública,Servicio,https://www.ntrguadalajara.com/post.php?id_nota=243240
Vecinos de La Estancia rechazan construcción de estaciones de MiBici,07-04-26,El Informador,Bicicleta,Bici pública,Oposición,https://www.informador.mx/jalisco/vecinos-de-la-estancia-rechazan-construccion-de-estaciones-de-mi-bici-buscaran-alternativas-con-amim-20260407-0113.html
Estaciones de Mi Bici deben tener enfoque social y de socialización: especialistas,07-04-26,El Informador,Bicicleta,Bici pública,Oposición,https://www.informador.mx/jalisco/mi-bici-estaciones-deben-tener-enfoque-social-de-seguridad-y-trabajo-de-socializacion-segun-especialistas-20260407-0128.html
¡Un foco de infección! Ciclovía de avenida 8 de Julio completamente abandonada,06-04-26,Azteca jalisco,Bicicleta,Ciclovía,Denuncia,https://www.aztecajalisco.com/local/abandonan-ciclovia-avenida-8-julio-denuncian-foco-infeccion/?_amp=true
Guadalajara celebrará a niñas y niños con una noche familiar en la Vía Recreativa,02-04-26,El Occidental,Bicicleta,Vía recreactiva,Servicio,https://oem.com.mx/eloccidental/local/guadalajara-celebrara-a-ninas-y-ninos-con-una-noche-familiar-en-la-via-recreativa-29310251
Ciclistas piden retomar agenda de movilidad segura en ZMG,03-31-26,NTR Guadalajara,Bicicleta,Ciclovía,Denuncia,https://www.ntrguadalajara.com/post.php?id_nota=242758
MiBici Guadalajara amplía tiempos en Semana Santa y proponen visitar parques de la ciudad,03-31-26,Milenio,Bicicleta,Bici pública,Servicio,https://www.milenio.com/comunidad/mibici-guadalajara-aumenta-minutos-de-uso-gratis-en-semana-santa
Estos son los cierres viales HOY por Vía RecreActiva Zapopan,03-26-26,El Informador,Bicicleta,Vía recreactiva,Servicio,https://www.informador.mx/jalisco/cierres-viales-en-zapopan-hoy-26-de-marzo-de-2026-por-via-recreactiva-20260326-0052.html
Motos invaden ciclovías sin castigo,03-22-26,El Informador,Bicicleta,Motocicleta,Ciclovía,https://www.informador.mx/jalisco/guadalajara-motos-invaden-ciclovias-sin-castigo-20260322-0028.html
Aumenta el número de ciclovías en Guadalajara,03-22-26,El Informador,Bicicleta,Ciclovía,Infraestructura,https://www.informador.mx/jalisco/guadalajara-aumenta-el-numero-de-ciclovias-en-los-ultimos-seis-anos-20260322-0027.html
Opera Mi Bici al 66% en ZMG,03-22-26,Mural,Bicicleta,Bici pública,Servicio,https://www.mural.com.mx/opera-mi-bici-al-66-en-zmg/ar3173743
Ciclovías en el AMG impulsan la movilidad pero enfrentan rezagos,03-21-26,El Informador,Bicicleta,Ciclovía,Varios,https://www.informador.mx/jalisco/ciclovias-garantizan-seguridad-e-incentivan-la-bicicleta-falta-conexion-y-ampliacion-expertos-20260321-0057.html
Todo listo para la Vía Nocturna Zapopan; conoce cómo inscribirte,03-20-26,El Informador,Bicicleta,Vía recreactiva,Servicio,https://www.informador.mx/jalisco/via-nocturna-zapopan-2026-conoce-como-inscribirte-20260320-0056.html
Asisten más de 130 mil personas a la Vía RecreActiva nocturna de marzo,08-03-26,El Informador,Bicicleta,Vía recreactiva,Servicio,https://www.informador.mx/jalisco/asisten-mas-de-130-mil-personas-a-la-via-recreactiva-nocturna-de-marzo-20260308-0064.html
